iter	RMSE
0	0.3761233429
1	0.360959305
2	0.3464897714
3	0.3327173184
4	0.3195806912
5	0.3075700029
6	0.29607696
7	0.2854238918
8	0.2752316052
9	0.2653169803
10	0.2560147974
11	0.247454827
12	0.2390238429
13	0.2312402848
14	0.2239553096
15	0.2171280545
16	0.2104948537
17	0.2043185761
18	0.198353479
19	0.1928825838
20	0.1877957013
21	0.1829907468
22	0.1784699079
23	0.1741444551
24	0.1703996206
25	0.1667094325
26	0.1635494591
27	0.1604145725
28	0.1574892787
29	0.1546883449
30	0.1521748401
31	0.149838615
32	0.1474334091
33	0.145272182
34	0.1432575683
35	0.1413919404
36	0.1396213142
37	0.1380651102
38	0.1364856202
39	0.1352007698
40	0.1339095272
41	0.1326860864
42	0.1314737734
43	0.1303983642
44	0.1294256177
45	0.1285447514
46	0.1276505393
47	0.1269491802
48	0.1262798923
49	0.1256659002
50	0.1249829448
51	0.1243777431
52	0.1238375054
53	0.123354656
54	0.1228989951
55	0.1224910589
56	0.1220786982
57	0.1216415386
58	0.1212554448
59	0.1209774423
60	0.1206570721
61	0.1203274103
62	0.120133278
63	0.1198338788
64	0.1196288314
65	0.1193033865
66	0.1190670764
67	0.1188391731
68	0.1186169093
69	0.1184169721
70	0.118269741
71	0.1180540216
72	0.1177837567
73	0.1175791788
74	0.1173503243
75	0.1172120721
76	0.1170014078
77	0.1169057414
78	0.1168146089
79	0.1167003531
80	0.1165772907
81	0.1164639894
82	0.1163746381
83	0.1162220778
84	0.1161284706
85	0.1160456881
86	0.1159258468
87	0.1158202489
88	0.1157257811
89	0.1156082923
90	0.1154665542
91	0.1153779357
92	0.1152927648
93	0.1152469876
94	0.1151571565
95	0.1149720326
96	0.1148484574
97	0.1146979639
98	0.1145500912
99	0.114488379
100	0.1143077716
101	0.114253117
102	0.1140823847
103	0.1139997601
104	0.1139242215
105	0.1137869958
106	0.1137154549
107	0.113515409
108	0.1134364505
109	0.1133817227
110	0.1132385545
111	0.113124134
112	0.113054784
113	0.1129777283
114	0.1127706132
115	0.1127117655
116	0.1126535011
117	0.1125758088
118	0.1125010892
119	0.1123619232
120	0.1122433388
121	0.1121801746
122	0.1121090686
123	0.1120234646
124	0.1119538486
125	0.1119148171
126	0.111842715
127	0.1117016988
128	0.1116354746
129	0.1114933723
130	0.111450234
131	0.1113695433
132	0.1113111872
133	0.1112574998
134	0.1111933313
135	0.1111408548
136	0.1110863097
137	0.1109648558
138	0.1108574696
139	0.1108013597
140	0.110658955
141	0.1105720695
142	0.1105177287
143	0.1104282529
144	0.1103670671
145	0.1102852045
146	0.1101938801
147	0.1101014216
148	0.110053285
149	0.1099348931
150	0.109830269
151	0.1097201983
152	0.1096355721
153	0.1095017739
154	0.1094041507
155	0.1093521132
156	0.1093103698
157	0.1092312173
158	0.1091817837
159	0.1090288886
160	0.1089677865
161	0.1088440772
162	0.1087199444
163	0.1085786969
164	0.1085209314
165	0.1084932941
166	0.1082989632
167	0.1081724582
168	0.1080647637
169	0.1080227015
170	0.1079892301
171	0.1078753087
172	0.1078149839
173	0.1077243715
174	0.1076208502
175	0.1075109915
176	0.1074218438
177	0.1073234459
178	0.1072748833
179	0.1071687569
180	0.1071037503
181	0.1070423446
182	0.1069779335
183	0.1068700777
184	0.1067850702
185	0.1066226816
186	0.1065624148
187	0.1064425697
188	0.1063875829
189	0.1062957327
190	0.1062172631
191	0.1061235418
192	0.1059615679
193	0.1059362788
194	0.1057730787
195	0.1056915648
196	0.1056602431
197	0.1055926149
198	0.1055170812
199	0.1054205038
200	0.1053972945
201	0.1052613782
202	0.1051792255
203	0.1051542576
204	0.1050761386
205	0.1050016884
206	0.1049078491
207	0.1048060929
208	0.1046773266
209	0.1045838384
210	0.1045245155
211	0.1044965919
212	0.104387325
213	0.1043552427
214	0.1042582743
215	0.1041743754
216	0.104104625
217	0.1040239146
218	0.1039024549
219	0.1038304174
220	0.1036809021
221	0.1035968032
222	0.103522453
223	0.1033821011
224	0.1033039003
225	0.1032647578
226	0.1032460104
227	0.1031588929
228	0.1030854625
229	0.1030676074
230	0.1029544279
231	0.1028542762
232	0.1027272828
233	0.1026525636
234	0.1026367
235	0.102612059
236	0.1024926636
237	0.1023954851
238	0.1023755528
239	0.1023022575
240	0.1022336304
